order_id,customer_name,product_category,product_name,units_sold,unit_price,discount,sales_amount,order_date,city,segment,profit
1000,Brian Thompson,Jeans,Slim Fit Jeans,2.6557788944723617,842.0,0.6,0.0,2025-02-27,Delhi,B2C,2137.45
1001,Shaun Ross,Jeans,Slim Fit Jeans,1.0,2691.715527131783,0.6464664310954064,0.0,2025-07-15,Ahmedabad,B2C,1588.15
1002,Sarah Snyder,Jackets,Puffer Coat,1.0,637.82,0.6464664310954064,0.0,2025-01-02,Mumbai,B2B,-158.03
1003,Jay Briggs,Shoes,Loafers,2.0,2962.27,0.6464664310954064,0.0,2025-06-18,bengaluru,B2B,2296.5
1005,Samuel Miller,T-Shirts,Crop Top,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2023-12-05,Mumbai,B2B,1477.73
1006,John Mclean,Jeans,Boyfriend Jeans,1.0,2060.85,0.6464664310954064,0.0,2024-04-02,Ahmedabad,B2B,198.36
1009,Dale Perry,T-Shirts,Oversized T-shirt,5.0,2691.715527131783,0.6464664310954064,0.0,2025-07-20,Bangalore,B2B,-972.73
1011,Jacob Sanchez,Accessories,Belts,0.0,2691.715527131783,0.6464664310954064,0.0,2025-05-27,Delhi,B2C,1370.67
1012,Valerie Hampton,Jeans,Straight Cut,4.0,2691.715527131783,0.21,0.0,2024-08-22,Ahmedabad,B2C,843.61
1014,Richard Hood,Shoes,Loafers,4.0,2691.715527131783,0.6464664310954064,0.0,2024-09-21,Hyd,B2C,-889.25
1016,Valerie Garner,T-Shirts,Crop Top,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-10-26,Hyderabad,B2B,1881.89
1018,Andrew Washington,Dresses,Maxi Dress,4.0,2691.715527131783,0.6464664310954064,0.0,2024-04-13,bengaluru,B2C,2102.56
1019,Mark Allison,Dresses,Casual Midi,2.6557788944723617,4064.4,0.7,0.0,2024-10-22,Ahmedabad,B2C,877.21
1020,Russell Eaton,Jeans,Boyfriend Jeans,1.0,2691.715527131783,0.6464664310954064,0.0,2025-03-19,Pune,B2B,669.75
1021,Amber Bowman,Dresses,Wrap Dress,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-05-05,bengaluru,B2B,-705.72
1031,Lauren Jensen,Dresses,Wrap Dress,2.6557788944723617,1872.05,0.15,0.0,2025-05-27,Pune,B2C,-863.9
1024,Thomas Long,Jackets,Puffer Coat,2.0,2691.715527131783,0.7,0.0,2025-02-19,Delhi,B2B,491.1
1025,Christine Reed,Jeans,Straight Cut,4.0,4595.08,0.6464664310954064,0.0,2025-07-18,Bangalore,B2C,330.82
1026,Colton Baxter,Accessories,Sunglasses,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-12-21,Ahmedabad,B2B,-194.77
1030,Brandi Jones,Dresses,Maxi Dress,3.0,1069.77,0.6464664310954064,0.0,2023-09-03,Hyd,B2C,1155.38
1031,William Williams,Dresses,Wrap Dress,4.0,2691.715527131783,0.6464664310954064,0.0,2025-01-31,Bangalore,B2B,-960.24
1032,Kim Harris,Jeans,Boyfriend Jeans,2.6557788944723617,2182.01,0.6464664310954064,0.0,2025-01-25,Delhi,B2C,1377.61
1033,Jonathan Neal,Jeans,Straight Cut,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-11-13,Hyd,B2B,903.69
1034,Nathan Stewart,Jackets,Puffer Coat,0.0,4449.36,0.7,0.0,2025-07-13,Delhi,B2B,-282.68
1036,Connie Cunningham,T-Shirts,Graphic Tee,2.0,2721.83,0.6464664310954064,0.0,2024-04-06,Ahmedabad,B2B,1213.95
1038,Courtney Riddle,T-Shirts,Crop Top,3.0,1692.38,0.6464664310954064,0.0,2024-01-20,bengaluru,B2C,1704.49
1039,Ashley Ramirez,Shoes,Boots,2.6557788944723617,1372.16,0.56,0.0,2025-05-20,Hyd,B2C,1626.51
1040,Angel Nelson,Jackets,Denim Jacket,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-11-15,Ahmedabad,B2C,693.6
1041,Teresa Chavez,Jackets,Puffer Coat,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2025-03-07,Ahmedabad,B2C,-983.06
1042,Richard Williams,Dresses,Bodycon,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2025-04-12,Pune,B2C,283.39
1043,Deborah Walker,T-Shirts,Graphic Tee,2.6557788944723617,4575.93,0.56,0.0,2025-04-05,Ahmedabad,B2C,442.14
1044,Elizabeth Williams,T-Shirts,Classic Tee,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-09-12,bengaluru,B2B,-80.23
1045,Connie Mills,Accessories,Sunglasses,2.6557788944723617,3477.16,0.6464664310954064,0.0,2025-02-10,Hyd,B2B,1323.75
1047,Matthew Thompson,Jeans,Straight Cut,3.0,2691.715527131783,0.6464664310954064,0.0,2025-06-12,Hyd,B2C,-395.76
1048,James Hughes,Jeans,Straight Cut,5.0,2691.715527131783,0.41,0.0,2024-10-16,Delhi,B2C,2409.26
1050,Matthew Schmidt,Jeans,Slim Fit Jeans,1.0,1083.16,0.6464664310954064,0.0,2025-07-08,Pune,B2C,2904.29
1051,Eric Wilson,Jeans,Boyfriend Jeans,2.6557788944723617,2691.715527131783,0.57,0.0,2025-04-26,Delhi,B2C,2857.9
1052,Zachary Ramos,Jeans,Ripped Denim,2.6557788944723617,3252.49,0.56,0.0,2023-12-08,Bangalore,B2C,-11.15
1053,Debra Pollard,Dresses,Maxi Dress,2.6557788944723617,714.23,0.7,0.0,2025-07-21,Delhi,B2C,1057.24
1054,Angela Martinez,T-Shirts,Classic Tee,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2025-02-12,Pune,B2C,1002.96
1055,Brett Burch,Jeans,Boyfriend Jeans,0.0,2691.715527131783,0.6464664310954064,0.0,2024-03-02,Pune,B2B,1374.9
1056,Jennifer English,Accessories,Sunglasses,6.0,2691.715527131783,0.6464664310954064,0.0,2025-07-11,Mumbai,B2C,-343.36
1057,Penny Campbell,Jackets,Puffer Coat,4.0,2691.715527131783,0.04,0.0,2024-12-23,Pune,B2C,1725.76
1058,Karen Garcia,T-Shirts,Oversized T-shirt,2.6557788944723617,3982.53,0.7,0.0,2024-08-14,Pune,B2C,1912.49
