order_id,customer_name,product_category,product_name,units_sold,unit_price,discount,sales_amount,order_date,city,segment,profit,unique_id
1000,Brian Thompson,Jeans,Slim Fit Jeans,2.6557788944723617,842.0,0.6,0.0,2025-02-27,Delhi,B2C,2137.45,1000_Brian Thompson
1001,Shaun Ross,Jeans,Slim Fit Jeans,1.0,2691.715527131783,0.6464664310954064,0.0,2025-07-15,Ahmedabad,B2C,1588.15,1001_Shaun Ross
1002,Sarah Snyder,Jackets,Puffer Coat,1.0,637.82,0.6464664310954064,0.0,2025-01-02,Mumbai,B2B,-158.03,1002_Sarah Snyder
1003,Jay Briggs,Shoes,Loafers,2.0,2962.27,0.6464664310954064,0.0,2025-06-18,bengaluru,B2B,2296.5,1003_Jay Briggs
1005,Samuel Miller,T-Shirts,Crop Top,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2023-12-05,Mumbai,B2B,1477.73,1005_Samuel Miller
1006,John Mclean,Jeans,Boyfriend Jeans,1.0,2060.85,0.6464664310954064,0.0,2024-04-02,Ahmedabad,B2B,198.36,1006_John Mclean
1009,Dale Perry,T-Shirts,Oversized T-shirt,5.0,2691.715527131783,0.6464664310954064,0.0,2025-07-20,Bangalore,B2B,-972.73,1009_Dale Perry
1011,Jacob Sanchez,Accessories,Belts,0.0,2691.715527131783,0.6464664310954064,0.0,2025-05-27,Delhi,B2C,1370.67,1011_Jacob Sanchez
1012,Valerie Hampton,Jeans,Straight Cut,4.0,2691.715527131783,0.21,0.0,2024-08-22,Ahmedabad,B2C,843.61,1012_Valerie Hampton
1014,Richard Hood,Shoes,Loafers,4.0,2691.715527131783,0.6464664310954064,0.0,2024-09-21,Hyd,B2C,-889.25,1014_Richard Hood
1016,Valerie Garner,T-Shirts,Crop Top,2.6557788944723617,2691.715527131783,0.6464664310954064,0.0,2024-10-26,Hyderabad,B2B,1881.89,1016_Valerie Garner
1018,Andrew Washington,Dresses,Maxi Dress,4.0,2691.715527131783,0.6464664310954064,0.0,2024-04-13,bengaluru,B2C,2102.56,1018_Andrew Washington
